FipsSVI,Index,ValueCDC,Delta,MedianHouseholdIncome,ScoreCES,Score_SVI,ScaledIndex,ScaledCDC,ScaledCES,ScaledSVI
6001437102,13.06887564,10.3,2.768875636,73324,33.60488675,8.7713,5.735638429,4.401709402,5.347510458,6.770824258
6001437200,12.28733107,11.2,1.087331065,78361,39.36715261,8.1663,5.382433905,4.786324786,6.306492902,6.185179807
6001437300,13.31840788,11.9,1.418407882,52358,33.48341147,9.4308,5.848409883,5.085470085,5.327293989,7.40922511
6001437400,12.79956951,11.5,1.299569509,89201,30.39565307,7.3562,5.613930537,4.914529915,4.813415219,5.400997048
6001437500,18.43075487,15.4,3.030754867,60654,28.1538472,9.9991,8.158839959,6.581196581,4.440323707,7.959343691
6001437600,14.38551411,14.3,0.085514112,79944,28.39012403,9.5872,6.330668684,6.111111111,4.479645971,7.560621461
6001437701,17.00679267,14.8,2.206792666,62382,26.49879311,9.6006,7.515306743,6.324786325,4.164882092,7.573592759
6001437702,19.15218416,14.4,4.752184159,41545,24.1566089,9.4487,8.484876501,6.153846154,3.775085162,7.426552442
6001437800,12.34055851,10.6,1.740558514,95781,21.94154167,6.5377,5.40648906,4.52991453,3.406443618,4.608683026
6001437900,13.04765451,11.5,1.547654512,68432,21.67104628,7.9004,5.726047937,4.914529915,3.361426547,5.927786651
6001438000,10.82486543,10.8,0.02486543,94170,17.15301636,7.4523,4.721499779,4.615384615,2.609515495,5.494022555
6001438100,13.66709772,11,2.667097719,109946,38.23118139,7.4573,6.005993766,4.700854701,6.117439415,5.498862591
6001438201,13.67682232,11.8,1.876822321,85432,27.89018715,8.9669,6.010388619,5.042735043,4.396444205,6.960166497
6001438203,13.15712666,11.7,1.457126665,94231,43.2219505,9.1651,5.775521839,5,6.948025868,7.152025555
6001438204,11.96309974,10.8,1.163099742,79167,33.11166676,7.4277,5.235903593,4.615384615,5.265426547,5.470209574
6001438300,13.29331729,11.6,1.69331729,86318,28.33765048,8.3698,5.837070657,4.957264957,4.470913084,6.382169304
6001438400,11.73062756,10.7,1.030627564,92188,30.99623809,7.6167,5.130842118,4.572649573,4.913367304,5.653162964
6001440100,10.34038983,10.4,0.059610169,87097,19.73180323,7.6028,4.502550048,4.444444444,3.038688915,5.639707662
6001440200,14.74532764,12.6,2.145327642,61885,26.64836222,7.5021,6.493279713,5.384615385,4.189774063,5.542229321
6001440301,12.10402335,10.3,1.804023348,81438,39.67697432,7.4254,5.299591394,4.401709402,6.358054838,5.467983157
6001440304,12.45300289,9.8,2.653002885,128190,19.80653036,7.2289,5.457306201,4.188034188,3.051125342,5.277769711
6001440305,10.41541471,9.7,0.71541471,126823,16.52557209,7.0987,4.536456146,4.145299145,2.505093371,5.151735153
6001440306,12.61170394,9.2,3.411703941,108333,21.2668659,7.9851,5.52902819,3.931623932,3.294161013,6.009776874
6001440307,11.86669951,12,0.133300486,66379,27.71026566,8.6884,5.192337304,5.128205128,4.366500854,6.690576448
6001440308,11.16514799,9.7,1.465147993,81478,27.73116112,7.0568,4.87528415,4.145299145,4.369978372,5.111175645
6001440331,12.03311869,9.7,2.333118689,91603,26.56951231,7.6294,5.267547353,4.145299145,4.176651503,5.665456657
